place_id,name,state,lga,lat,lon,use_for_reachability,anchor_source,anchor_status,anchor_lat,anchor_lon,road_snap_distance_m,road_snap_status,road_snap_highway,road_snap_road_name,input_lat,input_lon,gazetteer_type,gazetteer_lga,gazetteer_seen_types,area_sqkm,point_method,is_hub,place_type,loc_code,source,source_objectid,official_name_raw,graph_node,official_centre_lat,official_centre_lon,roadpoint_offset_m,graph_component_id,hub_component_candidate_count,all_component_candidate_count,mainland_filter_reason,gazetteer_ref_number,input_to_anchor_distance_m,road_snap_lat,road_snap_lon,road_snap_search_radius_m,road_snap_edge_u,road_snap_edge_v,road_snap_edge_key,road_snap_osmid,road_snap_edge_length_m,road_snap_used_avoided_road_type
qld_locality_27,Albany Creek,QLD,Moreton Bay City,-27.35354880,152.96842494,true,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-27.35361000,152.96833000,11.5,snapped_to_nearest_usable_road,,,-27.3534916,152.9682264,SUB,Moreton Bay City,STRM;SUB,9.665167,road_node_inside_locality_hub_component,0,locality_road_representative_point,27,qld_admin_boundaries_locality_boundary,15,Albany Creek,2141524,-27.3536393,152.9684715,33.0,0,1324,1324,,45355,16.7,-27.35354880,152.96842494,50.0,2080104,2141524,0,,98.9,false
qld_locality_29,Alberton,QLD,Gold Coast City,-27.71155380,153.26954930,true,existing_small_locality_road_anchor,existing_small_locality_road_anchor_accepted,-27.71155380,153.26954930,0.0,snapped_to_nearest_usable_road,,,-27.7115538,153.2695493,,,LOCB,17.013927,road_node_inside_locality_hub_component,0,locality_road_representative_point,29,qld_admin_boundaries_locality_boundary,17,Alberton,3830205,-27.7075430,153.2662231,625.7,0,97,97,,,0.0,-27.71155380,153.26954930,50.0,3894974,3830205,0,,94.4,false
qld_locality_30,Albion,QLD,Brisbane City,-27.43313010,153.04436510,true,existing_small_locality_road_anchor,existing_small_locality_road_anchor_accepted,-27.43313010,153.04436510,0.0,snapped_to_nearest_usable_road,,,-27.4331301,153.0443651,,,CNTY;PRSH,1.358171,road_node_inside_locality_hub_component,0,locality_road_representative_point,30,qld_admin_boundaries_locality_boundary,19,Albion,3521731,-27.4333370,153.0442696,28.0,0,344,344,,,0.0,-27.43313010,153.04436510,50.0,3537237,3521731,0,,121.5,false
qld_locality_33,Alderley,QLD,Brisbane City,-27.42677859,152.99973119,true,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-27.42667000,152.99972000,12.2,snapped_to_nearest_usable_road,,,-27.4253125,153.0006244,SUB,Brisbane City,PRSH;SUB,2.528528,road_node_inside_locality_hub_component,0,locality_road_representative_point,33,qld_admin_boundaries_locality_boundary,21,Alderley,3195562,-27.4251810,153.0006770,17.5,0,357,359,,52300,175.4,-27.42677859,152.99973119,50.0,3674514,3674443,0,,14.8,false
qld_locality_34,Aldershot,QLD,Fraser Coast Regional,-25.46225113,152.66082451,true,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-25.46257806,152.66104172,42.5,snapped_to_nearest_usable_road,,,-25.4634699,152.6672372,POPL,Fraser Coast Regional,POPL;LOCB,21.31234,road_node_inside_locality_hub_component,0,locality_road_representative_point,34,qld_admin_boundaries_locality_boundary,22,Aldershot,2251145,-25.4623126,152.6682284,180.4,0,44,44,,263,629.8,-25.46225113,152.66082451,50.0,2251042,2251043,0,,121.4,false
qld_locality_36,Aldoga,QLD,Gladstone Regional,-23.84490040,151.08194590,true,existing_small_locality_road_anchor,existing_small_locality_road_anchor_accepted,-23.84490040,151.08194590,0.0,snapped_to_nearest_usable_road,,,-23.8449004,151.0819459,,,PRSH;LOCB,82.151335,road_node_inside_locality_hub_component,0,locality_road_representative_point,36,qld_admin_boundaries_locality_boundary,59,Aldoga,913129,-23.8447971,151.0739807,886.8,0,14,14,,,0.0,-23.84490040,151.08194590,50.0,913129,913113,0,,741.6,false
qld_locality_4687,Alexandra,QLD,Mackay Regional,-21.15924669,149.08919641,true,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-21.15806000,149.09028000,173.2,snapped_to_nearest_usable_road,,,-21.1624258,149.0948056,SUB,Mackay Regional,PRSH;SUB,7.477449,road_node_inside_locality_hub_component,0,locality_road_representative_point,4687,qld_admin_boundaries_locality_boundary,62,Alexandra,1432211,-21.1624775,149.0957237,102.4,0,15,15,,46752,675.2,-21.15924669,149.08919641,200.0,862187,862208,0,,1598.4,false
qld_locality_37,Alexandra Headland,QLD,Sunshine Coast Regional,-26.67306637,153.10117680,true,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-26.67333000,153.10111000,30.3,snapped_to_nearest_usable_road,,,-26.6701350,153.1011194,SUB,Sunshine Coast Regional,CAPE;SUB,1.5529650000000002,road_node_inside_locality_hub_component,0,locality_road_representative_point,37,qld_admin_boundaries_locality_boundary,60,Alexandra Headland,3405016,-26.6696418,153.1017834,96.1,0,263,265,,48492,355.3,-26.67306637,153.10117680,50.0,3260830,3260835,0,,128.8,false
qld_locality_39,Alexandra Hills,QLD,Redland City,-27.53916710,153.22780880,true,existing_small_locality_road_anchor,existing_small_locality_road_anchor_accepted,-27.53916710,153.22780880,0.0,snapped_to_nearest_usable_road,,,-27.5391671,153.2278088,,,LOCB,13.658845,road_node_inside_locality_hub_component,0,locality_road_representative_point,39,qld_admin_boundaries_locality_boundary,61,Alexandra Hills,3131517,-27.5391651,153.2280675,28.8,0,978,978,,,0.0,-27.53916710,153.22780880,50.0,3131517,3131493,0,,116.2,false
qld_locality_40,Algester,QLD,Brisbane City,-27.61271180,153.03363490,true,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-27.61250000,153.03361000,23.9,snapped_to_nearest_usable_road,,,-27.6127834,153.0330272,SUB,Brisbane City,SUB,3.6348710000000004,road_node_inside_locality_hub_component,0,locality_road_representative_point,40,qld_admin_boundaries_locality_boundary,63,Algester,3107202,-27.6130831,153.0323965,79.7,0,423,431,,47595,65.5,-27.61271180,153.03363490,50.0,3115947,3107202,0,,213.4,false
qld_locality_5613,Alice River,QLD,Townsville City,-19.34534490,146.61603470,true,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-19.34861000,146.61833000,435.0,snapped_to_nearest_usable_road,,,-19.3453449,146.6160347,SUB,Townsville City,STRM;SUB,39.8004,road_node_inside_locality_hub_component,0,locality_road_representative_point,5613,qld_admin_boundaries_locality_boundary,65,Alice River,747805,-19.3502234,146.6192233,676.2,0,132,132,,44563,435.7,-19.34534490,146.61603470,800.0,747793,747805,0,,364.3,false
qld_locality_5451,Allan,QLD,Southern Downs Regional,-28.19964310,151.95181740,true,existing_small_locality_road_anchor,existing_small_locality_road_anchor_accepted,-28.19964310,151.95181740,0.0,snapped_to_nearest_usable_road,,,-28.1996431,151.9518174,,,PRSH;LOCB,8.74237,road_node_inside_locality_hub_component,0,locality_road_representative_point,5451,qld_admin_boundaries_locality_boundary,66,Allan,2261936,-28.1973325,151.9503438,334.8,0,18,18,,,0.0,-28.19964310,151.95181740,50.0,2261935,2261936,0,,69.5,false
qld_locality_48,Allenstown,QLD,Rockhampton Regional,-23.39630344,150.50424006,true,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-23.39667000,150.50417000,41.6,snapped_to_nearest_usable_road,,,-23.3955945,150.5056695,SUB,Rockhampton Regional,SUB,2.2305110000000004,road_node_inside_locality_hub_component,0,locality_road_representative_point,48,qld_admin_boundaries_locality_boundary,68,Allenstown,1402251,-23.3959202,150.5055237,42.7,0,241,241,,48493,194.2,-23.39630344,150.50424006,50.0,1402302,1402247,0,,171.9,false
